name,image_url,category,details_url,region,habitat
American Shad,https://myfwc.com/media/13781/americanshad.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/american-shad/,Florida,Saltwater
Atlantic Spadefish,https://myfwc.com/media/13786/atlanticspadefish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/american-shad/,Florida,Saltwater
Atlantic Thread Herring,https://myfwc.com/media/13787/atlanticthreadherring.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/atlantic-thread-herring/,Florida,Saltwater
Ballyhoo,https://myfwc.com/media/13788/ballyhoo.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/ballyhoo/,Florida,Saltwater
Great Barracuda,https://myfwc.com/media/13828/greatbarracuda.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/barracuda/,Florida,Saltwater
Bay Anchovy,https://myfwc.com/media/13791/bayanchovy.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/bay-anchovy/,Florida,Saltwater
Longbill Spearfish,https://myfwc.com/media/13847/longbillspearfish.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/longbill-spearfish/,Florida,Saltwater
Sailfish,https://myfwc.com/media/13865/sailfish.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/sailfish/,Florida,Saltwater
Swordfish,https://myfwc.com/media/13895/swordfish.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/swordfish/,Florida,Saltwater
White Marlin,https://myfwc.com/media/13908/whitemarlin.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/white-marlin/,Florida,Saltwater
Blue Marlin,https://myfwc.com/media/13802/bluemarlin.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/blue-marlin/,Florida,Saltwater
Bluefish,https://myfwc.com/media/13801/bluefish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/bluefish/,Florida,Saltwater
Bonefish,https://myfwc.com/media/13805/bonefish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/bonefish/,Florida,Saltwater
Gafftopsail Catfish,https://myfwc.com/media/13822/gafftopsailcatfish.jpg,Catfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/catfish/gafftopsail-catfish/,Florida,Saltwater
Hardhead Catfish,https://myfwc.com/media/13833/hardheadcatfish.jpg,Catfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/catfish/hardhead-catfish/,Florida,Saltwater
