name,image_url,category,details_url,region,habitat
American Shad,images/americanshad.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/american-shad/,Florida,Saltwater
Atlantic Spadefish,images/atlanticspadefish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/american-shad/,Florida,Saltwater
Atlantic Thread Herring,images/atlanticthreadherring.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/atlantic-thread-herring/,Florida,Saltwater
Ballyhoo,images/ballyhoo.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/ballyhoo/,Florida,Saltwater
Great Barracuda,images/greatbarracuda.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/barracuda/,Florida,Saltwater
Bay Anchovy,images/bayanchovy.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/bay-anchovy/,Florida,Saltwater
Longbill Spearfish,images/longbillspearfish.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/longbill-spearfish/,Florida,Saltwater
Sailfish,images/sailfish.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/sailfish/,Florida,Saltwater
Swordfish,images/swordfish.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/swordfish/,Florida,Saltwater
White Marlin,images/whitemarlin.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/white-marlin/,Florida,Saltwater
Blue Marlin,images/bluemarlin.jpg,Billfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/billfish/blue-marlin/,Florida,Saltwater
Bluefish,images/bluefish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/bluefish/,Florida,Saltwater
Bonefish,images/bonefish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/bonefish/,Florida,Saltwater
Gafftopsail Catfish,images/gafftopsailcatfish.jpg,Catfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/catfish/gafftopsail-catfish/,Florida,Saltwater
Hardhead Catfish,images/hardheadcatfish.jpg,Catfish,https://myfwc.com/wildlifehabitats/profiles/saltwater/catfish/hardhead-catfish/,Florida,Saltwater
Cobia,images/cobia.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/cobia/,Florida,Saltwater
Dolphinfish,images/dolphinfish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/dolphinfish/,Florida,Saltwater
Atlantic Croaker,images/atlanticcroaker.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/atlantic-croaker/,Florida,Saltwater
Black Drum,images/blackdrum.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/black-drum/,Florida,Saltwater
Gulf Kingfish,images/gulfkingfish.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/gulf-kingfish/,Florida,Saltwater
Red Drum (Redfish),images/reddrum.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/red-drum/,Florida,Saltwater
Sand Seatrout,images/sandseatrout.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/sand-seatrout/,Florida,Saltwater
Silver Perch,images/silverperch.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/silver-perch/,Florida,Saltwater
Silver Seatrout,images/silverseatrout.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/silver-seatrout/,Florida,Saltwater
Southern Kingfish,images/southernkingfish.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/southern-kingfish/,Florida,Saltwater
Spot,images/spot.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/spot/,Florida,Saltwater
Spotted Seatrout,images/spottedseatrout.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/spotted-seatrout/,Florida,Saltwater
Weakfish,images/weakfish.jpg,Drums,https://myfwc.com/wildlifehabitats/profiles/saltwater/drums/weakfish/,Florida,Saltwater
Gulf Flounder,images/gulfflounder.jpg,Flounder,https://myfwc.com/wildlifehabitats/profiles/saltwater/flounder/gulf-flounder/,Florida,Saltwater
Gray Triggerfish,images/graytriggerfish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/gray-triggerfish/,Florida,Saltwater
Black Grouper,images/blackgrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/black-grouper/,Florida,Saltwater
Gag Grouper,images/gag.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/gag-grouper/,Florida,Saltwater
Goliath Grouper,images/golaithgrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/goliath-grouper/,Florida,Saltwater
Nassau Grouper,images/nassaugrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/nassau-grouper/,Florida,Saltwater
Red Grouper,images/redgrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/red-grouper/,Florida,Saltwater
Scamp,images/scamp.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/scamp/,Florida,Saltwater
Warsaw Grouper,images/warsawgrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/warsaw-grouper/,Florida,Saltwater
Yellowfin Grouper,images/yellowfingrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/yellowfin-grouper/,Florida,Saltwater
Yellowmouth Grouper,images/yellowmouthgrouper.jpg,Grouper,https://myfwc.com/wildlifehabitats/profiles/saltwater/grouper/yellowmouth-grouper/,Florida,Saltwater
Pigfish,images/pigfish.jpg,Grunt,https://myfwc.com/wildlifehabitats/profiles/saltwater/grunt/pigfish/,Florida,Saltwater
Tomtate,images/tomtate.jpg,Grunt,https://myfwc.com/wildlifehabitats/profiles/saltwater/grunt/tomtate/,Florida,Saltwater
White Grunt,images/whitegrunt.jpg,Grunt,https://myfwc.com/wildlifehabitats/profiles/saltwater/grunt/white-grunt/,Florida,Saltwater
Gulf Sturgeon,images/gulfsturgeon.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/gulf-sturgeon/,Florida,Saltwater
Hogfish,images/hogfish.jpg,None,https://myfwc.com/wildlifehabitats/profiles/saltwater/hogfish/,Florida,Saltwater
African Pompano,images/africanpompano.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/african-pompano/,Florida,Saltwater
Almaco Jack,images/almacojack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/almaco-jack/,Florida,Saltwater
Atlantic Bumper,images/atlanticbumper.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/atlantic-bumper/,Florida,Saltwater
Banded Rudderfish,images/bandedrudderfish.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/banded-rudderfish/,Florida,Saltwater
Bigeye Scad,images/bigeyescad.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/bigeye-scad/,Florida,Saltwater
Blue Runner,images/bluerunner.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/blue-runner/,Florida,Saltwater
Crevalle Jack,images/crevallejack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/crevalle-jack/,Florida,Saltwater
Florida Pompano,images/floridapompano.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/florida-pompano/,Florida,Saltwater
Greater Amberjack,images/greateramberjack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/greater-amberjack/,Florida,Saltwater
Horse-eye Jack,images/horseeyejack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/horse-eye-jack/,Florida,Saltwater
Leatherjacket,images/leatherjack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/leatherjacket/,Florida,Saltwater
Lesser Amberjack,images/lesseramberjack.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/lesser-amberjack/,Florida,Saltwater
Lookdown,images/lookdown.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/lookdown/,Florida,Saltwater
Palometa,images/palometa.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/palometa/,Florida,Saltwater
Permit,images/permit.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/permit/,Florida,Saltwater
Round Scad,images/roundscad.jpg,Jacks,https://myfwc.com/wildlifehabitats/profiles/saltwater/jacks/round-scad/,Florida,Saltwater
Cero Mackerel,images/cero.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/cero-mackerel/,Florida,Saltwater
King Mackerel,images/kingmackerel.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/king-mackerel/,Florida,Saltwater
Spanish Mackerel,images/spanishmackerel.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/spanish-mackerel/,Florida,Saltwater
Wahoo,images/wahoo.jpg,Mackerel,https://myfwc.com/wildlifehabitats/profiles/saltwater/mackerel/wahoo/,Florida,Saltwater
Fantail Mullet,images/fantailmullet.jpg,Mullet,https://myfwc.com/wildlifehabitats/profiles/saltwater/mullet/fantail-mullet/,Florida,Saltwater
Striped Mullet,images/stripedmullet.jpg,Mullet,https://myfwc.com/wildlifehabitats/profiles/saltwater/mullet/striped-mullet/,Florida,Saltwater
Grass Porgy,images/grassporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/grass-porgy/,Florida,Saltwater
Jolthead Porgy,images/joltheadporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/jolthead-porgy/,Florida,Saltwater
Knobbed Porgy,images/knobbedporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/knobbed-porgy/,Florida,Saltwater
Littlehead Porgy,images/littleheadporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/littlehead-porgy/,Florida,Saltwater
Pinfish,images/pinfish.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/pinfish/,Florida,Saltwater
Red Porgy,images/redporgy.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/red-porgy/,Florida,Saltwater
Sheepshead,images/sheepshead.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/sheepshead/,Florida,Saltwater
Spottail Pinfish,images/spottailpinfish.jpg,Porgy,https://myfwc.com/wildlifehabitats/profiles/saltwater/porgy/spottail-pinfish/,Florida,Saltwater
Scaled Sardine,images/scaledsardine.jpg,Sea Bass,https://myfwc.com/wildlifehabitats/profiles/saltwater/scaled-sardine/,Florida,Saltwater
Bank Sea Bass,images/bankseabass.jpg,Sea Bass,https://myfwc.com/wildlifehabitats/profiles/saltwater/sea-bass/bank-sea-bass/,Florida,Saltwater
